Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,51.667,87.369,394.176,5338,257.950
PositionBrain,44.805,160.133,317.926,5269,340.494
PositionBrain,44.012,226.013,246.198,5183,308.697
PositionBrain,45.844,295.713,267.123,5203,307.821
PositionBrain,42.548,367.394,347.924,5276,317.142
PositionBrain,51.316,443.171,280.133,5451,317.708
PositionBrain,43.410,514.777,309.854,5247,329.777
PositionBrain,42.179,579.455,256.095,5233,294.776
PositionBrain,44.694,645.069,240.307,5211,253.403
PositionBrain,42.163,712.386,279.704,5121,223.934
PositionBrain,42.023,778.139,271.899,5143,228.400
PositionBrain,48.308,851.149,263.184,5143,180.454
PositionBrain,42.293,919.914,302.540,5256,166.660
PositionBrain,41.298,984.663,263.939,5139,167.727
PositionBrain,44.289,1055.072,297.226,5198,189.873
PositionBrain,41.264,1121.997,288.226,5153,164.692
PositionBrain,43.058,1189.760,286.539,5186,153.371
PositionBrain,46.906,1264.772,304.131,5131,136.071
PositionBrain,42.448,1333.353,288.304,5149,152.379
PositionBrain,43.445,1402.917,292.492,5132,164.817
PositionBrain,42.316,1472.579,302.491,5129,166.930
PositionBrain,41.129,1540.349,298.571,5137,168.649
PositionBrain,46.759,1614.543,306.283,5135,163.969
PositionBrain,43.468,1688.269,327.870,5125,154.929
PositionBrain,43.910,1758.736,294.541,5126,167.418
PositionBrain,42.648,1830.591,310.888,5146,192.773
PositionBrain,47.783,1906.248,310.657,5137,195.361
PositionBrain,48.594,1986.343,350.604,5121,189.191
PositionBrain,41.655,2058.256,332.486,5133,172.092
PositionBrain,42.538,2128.293,306.100,5130,195.529
PositionBrain,43.405,2200.993,317.987,5138,209.294
PositionBrain,44.761,2277.680,357.857,5127,250.805
PositionBrain,48.374,2358.238,351.784,5145,256.806
PositionBrain,41.237,2430.560,324.507,5131,288.156
PositionBrain,43.996,2503.502,306.723,5121,306.098
PositionBrain,43.438,2577.584,323.511,5127,279.854
PositionBrain,45.660,2655.642,358.618,5127,268.644
PositionBrain,45.816,2734.402,350.289,5126,278.005
PositionBrain,42.775,2805.850,313.425,5123,251.456
PositionBrain,43.560,2881.327,356.139,5138,195.647
PositionBrain,44.811,2957.529,342.621,5123,255.880
PositionBrain,47.793,3038.568,362.326,5121,273.525
PositionBrain,41.282,3112.595,343.111,5121,267.430
