Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,47.176,87.422,452.975,5572,210.575
PositionBrain,48.454,159.998,276.519,5598,387.787
PositionBrain,43.841,226.337,270.857,5309,318.592
PositionBrain,42.685,289.723,244.446,5138,262.086
PositionBrain,45.515,360.511,284.008,5266,305.502
PositionBrain,46.239,432.246,294.771,5407,295.568
PositionBrain,44.747,502.978,305.499,5271,255.929
PositionBrain,43.434,569.772,262.808,5135,237.183
PositionBrain,43.331,636.216,267.558,5143,198.462
PositionBrain,41.649,700.889,251.521,5129,194.177
PositionBrain,44.369,771.203,299.450,5170,237.866
PositionBrain,42.832,837.273,257.539,5121,220.148
PositionBrain,43.574,908.597,333.941,5125,189.599
PositionBrain,43.583,975.524,277.043,5147,195.769
PositionBrain,41.637,1041.349,267.793,5134,184.466
PositionBrain,42.984,1107.843,255.324,5126,167.512
PositionBrain,44.766,1177.406,289.526,5123,177.979
PositionBrain,42.963,1246.491,300.078,5124,190.757
PositionBrain,43.728,1316.334,313.508,5140,167.290
PositionBrain,43.071,1384.531,279.136,5122,161.430
PositionBrain,42.196,1450.725,261.281,5129,150.299
PositionBrain,43.675,1517.848,258.237,5121,151.335
PositionBrain,44.132,1587.663,287.584,5122,158.623
PositionBrain,43.150,1658.563,320.398,5126,167.064
PositionBrain,43.140,1728.861,314.154,5134,168.624
PositionBrain,42.294,1797.396,294.360,5123,148.889
PositionBrain,42.016,1863.583,262.885,5128,166.938
PositionBrain,44.453,1933.981,283.886,5125,194.653
PositionBrain,43.748,2005.210,308.792,5134,211.837
PositionBrain,43.304,2078.067,345.781,5148,205.729
PositionBrain,42.934,2148.641,300.563,5132,195.191
PositionBrain,42.006,2218.180,300.112,5129,204.810
PositionBrain,42.099,2285.700,268.068,5123,214.133
PositionBrain,44.032,2357.494,306.541,5139,210.766
PositionBrain,42.782,2428.423,310.161,5131,221.390
PositionBrain,43.587,2502.040,330.467,5130,239.069
PositionBrain,42.029,2572.636,313.901,5145,240.200
PositionBrain,41.980,2641.815,299.075,5121,254.127
PositionBrain,41.623,2709.754,281.416,5130,283.376
PositionBrain,44.375,2783.242,319.150,5131,289.689
PositionBrain,43.461,2855.567,319.063,5137,248.631
PositionBrain,43.928,2930.710,352.151,5126,280.834
PositionBrain,42.514,3002.260,311.730,5122,295.667
PositionBrain,42.248,3072.730,296.710,5123,297.489
PositionBrain,43.058,3144.099,292.800,5138,325.460
PositionBrain,43.927,3218.361,330.434,5124,338.163
PositionBrain,42.816,3292.190,342.312,5121,299.961
PositionBrain,43.812,3366.801,341.979,5128,341.821
PositionBrain,42.184,3438.598,318.607,5139,329.563
PositionBrain,42.362,3508.594,288.287,5125,336.298
PositionBrain,44.262,3582.438,309.759,5124,351.085
PositionBrain,42.463,3655.322,337.087,5127,373.941
PositionBrain,44.120,3732.227,367.607,5124,373.266
PositionBrain,43.120,3805.633,313.277,5134,384.214
PositionBrain,41.719,3876.118,292.031,5121,401.679
PositionBrain,43.408,3948.873,294.796,5127,424.109
PositionBrain,43.620,4023.334,332.336,5127,421.374
PositionBrain,43.114,4100.201,373.671,5121,453.520
PositionBrain,43.197,4174.722,324.136,5133,460.041
PositionBrain,41.852,4247.758,319.112,5133,473.136
PositionBrain,42.426,4318.979,294.714,5121,456.984
PositionBrain,44.073,4395.157,346.468,5127,458.973
PositionBrain,42.461,4470.175,350.276,5127,493.146
PositionBrain,43.711,4547.837,368.913,5123,522.761
PositionBrain,42.347,4621.642,333.093,5126,512.161
PositionBrain,41.608,4692.886,301.590,5127,518.147
PositionBrain,43.513,4768.394,343.373,5128,538.989
PositionBrain,42.744,4843.636,340.935,5128,547.336
PositionBrain,44.190,4922.636,387.125,5124,540.977
PositionBrain,43.599,4998.786,348.652,5127,551.183
PositionBrain,42.225,5070.724,286.532,5142,573.094
PositionBrain,44.175,5146.829,337.655,5124,608.119
PositionBrain,42.787,5222.618,352.116,5126,594.583
PositionBrain,43.625,5302.121,402.006,5144,604.016
PositionBrain,43.454,5378.269,328.848,5122,607.859
PositionBrain,42.444,5451.704,311.979,5139,618.284
PositionBrain,42.670,5525.633,315.513,5122,646.217
PositionBrain,44.650,5604.141,362.236,5132,631.891
PositionBrain,43.116,5681.806,364.246,5133,663.683
PositionBrain,44.392,5761.289,367.100,5130,650.914
PositionBrain,43.338,5838.622,343.307,5123,662.100
PositionBrain,42.388,5913.816,341.010,5130,665.342
PositionBrain,41.591,5986.398,310.141,5130,681.530
PositionBrain,44.087,6062.431,327.722,5125,678.050
PositionBrain,43.638,6141.012,364.810,5137,703.397
PositionBrain,43.940,6221.013,383.125,5121,698.913
PositionBrain,44.942,6300.372,361.625,5139,699.409
PositionBrain,41.980,6374.820,319.613,5127,711.497
PositionBrain,44.146,6450.090,303.054,5121,723.529
PositionBrain,43.749,6528.018,360.544,5124,724.236
PositionBrain,43.750,6608.853,393.680,5131,736.267
PositionBrain,43.686,6686.987,349.738,5122,736.051
