Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,108.110,143.263,375.369,5199,237.243
PositionBrain,114.511,297.413,486.208,5474,338.613
PositionBrain,115.756,440.086,319.671,5510,311.928
PositionBrain,107.133,569.782,245.970,5206,253.757
PositionBrain,105.013,698.128,270.615,5137,236.680
PositionBrain,107.866,830.109,270.625,5177,321.672
PositionBrain,119.311,977.012,316.199,5360,336.968
PositionBrain,113.041,1117.275,301.230,5353,360.472
PositionBrain,106.854,1244.732,233.731,5323,333.209
PositionBrain,107.728,1384.319,360.882,5380,369.673
PositionBrain,110.627,1510.028,160.896,5357,277.511
PositionBrain,109.088,1643.320,277.886,5308,277.870
PositionBrain,102.687,1775.079,336.721,5133,382.969
PositionBrain,116.486,1917.290,297.519,5355,332.471
PositionBrain,116.104,2058.870,293.772,5313,311.785
PositionBrain,109.985,2192.577,273.587,5389,321.631
PositionBrain,105.765,2322.785,288.950,5125,297.248
PositionBrain,106.612,2453.007,285.995,5242,396.360
PositionBrain,105.298,2593.775,415.263,5230,362.744
PositionBrain,111.397,2726.910,251.771,5375,286.888
PositionBrain,116.647,2866.489,251.412,5283,337.194
PositionBrain,110.995,3009.595,364.694,5294,367.867
PositionBrain,105.952,3135.307,225.135,5261,301.472
PositionBrain,102.973,3266.961,333.147,5165,275.073
PositionBrain,109.013,3392.712,189.783,5407,372.140
PositionBrain,112.031,3540.387,428.580,5385,308.253
PositionBrain,111.049,3672.143,229.012,5401,283.916
PositionBrain,105.033,3792.623,163.661,5224,328.232
PositionBrain,122.357,3945.862,366.579,5503,367.861
PositionBrain,114.106,4096.123,425.603,5544,225.849
PositionBrain,106.416,4223.378,236.265,5166,247.586
PositionBrain,110.883,4361.723,329.981,5362,292.810
PositionBrain,108.098,4493.743,283.149,5330,286.468
PositionBrain,107.774,4626.373,281.818,5307,336.232
PositionBrain,111.497,4755.912,206.333,5251,355.604
PositionBrain,116.762,4907.585,404.069,5283,330.076
PositionBrain,114.444,5049.300,331.851,5558,280.410
PositionBrain,111.668,5184.715,268.488,5587,371.498
PositionBrain,104.021,5309.130,236.176,5144,279.202
PositionBrain,109.117,5443.446,289.481,5289,363.256
PositionBrain,107.624,5574.511,267.108,5273,286.226
PositionBrain,112.977,5717.157,348.703,5672,358.599
PositionBrain,121.658,5869.723,348.432,5474,309.939
PositionBrain,106.980,6001.517,283.779,5124,355.353
PositionBrain,111.193,6137.196,278.764,5398,397.861
PositionBrain,107.254,6267.599,264.847,5218,304.712
PositionBrain,106.547,6405.717,395.580,5321,287.269
PositionBrain,110.141,6533.561,201.222,5428,266.844
PositionBrain,105.876,6673.853,416.655,5320,335.640
PositionBrain,112.249,6804.977,221.323,5294,301.669
PositionBrain,116.085,6948.105,308.389,5215,363.084
PositionBrain,112.057,7086.009,304.981,5337,452.465
PositionBrain,106.209,7220.319,325.057,5318,365.222
PositionBrain,104.190,7347.505,260.474,5137,285.780
PositionBrain,111.068,7481.363,257.003,5372,302.516
PositionBrain,111.383,7618.055,278.470,5478,359.034
PositionBrain,108.411,7743.867,194.413,5125,309.341
