Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,16.398,42.612,248.934,5130,0.002
TransportBrain,15.874,77.985,182.204,5127,0.005
TransportBrain,16.360,113.553,178.177,5148,0.039
TransportBrain,16.742,151.471,203.180,5136,0.028
TransportBrain,16.512,189.363,204.567,5137,0.046
TransportBrain,15.565,224.376,190.757,5121,0.072
TransportBrain,15.593,259.425,191.340,5125,0.059
TransportBrain,17.541,300.364,239.718,5125,0.073
TransportBrain,17.461,341.433,238.751,5121,0.123
TransportBrain,15.983,377.508,186.850,5150,0.048
TransportBrain,16.277,412.664,167.212,5136,0.167
TransportBrain,17.157,453.754,247.991,5148,0.056
TransportBrain,16.407,492.313,222.324,5129,0.208
TransportBrain,15.847,529.995,225.084,5123,0.119
TransportBrain,15.670,566.362,209.058,5158,0.170
TransportBrain,16.307,602.452,190.829,5123,0.293
TransportBrain,17.623,643.602,240.158,5149,0.281
TransportBrain,16.271,683.649,244.733,5131,0.295
TransportBrain,15.922,719.955,193.453,5142,0.282
TransportBrain,17.409,757.069,189.049,5124,0.442
TransportBrain,16.642,795.392,209.614,5135,0.460
TransportBrain,16.196,833.786,225.120,5153,0.475
TransportBrain,15.618,869.326,191.315,5166,0.610
TransportBrain,15.604,905.161,201.218,5141,0.629
TransportBrain,17.645,946.931,255.650,5123,0.725
TransportBrain,16.926,988.036,257.820,5138,0.762
TransportBrain,15.533,1024.087,192.335,5121,0.852
TransportBrain,16.175,1060.586,192.880,5125,0.955
TransportBrain,16.548,1097.985,203.474,5130,0.953
TransportBrain,16.526,1136.818,225.093,5140,1.095
TransportBrain,15.800,1173.175,203.764,5139,1.178
TransportBrain,15.790,1209.918,212.671,5142,0.967
TransportBrain,17.443,1248.994,220.726,5126,1.250
TransportBrain,17.540,1290.596,244.669,5131,1.074
TransportBrain,15.728,1327.177,200.265,5129,1.227
TransportBrain,15.985,1363.769,199.117,5145,1.250
TransportBrain,16.615,1401.143,195.518,5122,1.529
TransportBrain,16.610,1440.040,222.228,5122,1.629
TransportBrain,15.695,1477.496,218.442,5144,1.601
TransportBrain,15.617,1513.936,211.453,5137,1.424
TransportBrain,17.729,1553.051,216.193,5126,1.715
TransportBrain,17.477,1594.763,253.838,5121,2.027
TransportBrain,15.593,1632.506,219.058,5125,1.917
TransportBrain,15.794,1669.079,201.780,5129,2.097
TransportBrain,16.611,1707.974,224.035,5125,2.338
TransportBrain,16.336,1746.990,225.739,5133,2.195
TransportBrain,15.402,1784.519,220.164,5128,2.251
TransportBrain,15.827,1820.565,195.811,5133,2.654
TransportBrain,17.461,1859.319,210.396,5137,2.772
