Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,5.228,52.329,452.248,10250,0.015
TransportBrain,4.974,99.900,413.126,10256,0.004
TransportBrain,5.336,147.888,425.681,10266,0.010
TransportBrain,5.250,193.929,395.910,10248,0.016
TransportBrain,5.230,245.687,469.694,10255,0.020
TransportBrain,5.287,297.685,481.600,10271,0.054
TransportBrain,5.086,346.628,436.621,10254,0.085
TransportBrain,5.062,396.624,461.407,10242,0.075
TransportBrain,5.186,446.747,464.565,10253,0.121
TransportBrain,5.065,494.644,414.689,10269,0.128
TransportBrain,5.051,543.378,436.454,10242,0.130
TransportBrain,5.046,592.762,454.336,10250,0.205
TransportBrain,5.190,646.304,508.102,10247,0.216
TransportBrain,5.275,697.405,465.225,10249,0.195
TransportBrain,5.342,749.905,485.889,10245,0.215
TransportBrain,5.012,800.619,464.219,10257,0.266
TransportBrain,5.090,851.646,471.312,10256,0.229
TransportBrain,5.018,903.262,476.470,10246,0.251
TransportBrain,5.164,957.141,511.233,10266,0.278
TransportBrain,5.069,1009.629,488.069,10259,0.291
TransportBrain,5.209,1063.407,508.943,10250,0.281
TransportBrain,4.902,1114.973,479.535,10252,0.255
TransportBrain,5.074,1165.996,458.407,10242,0.311
TransportBrain,5.108,1218.977,486.352,10248,0.347
TransportBrain,5.163,1273.263,512.396,10252,0.420
TransportBrain,5.104,1327.038,507.760,10257,0.324
TransportBrain,5.151,1379.759,481.985,10254,0.395
TransportBrain,4.990,1431.852,481.101,10249,0.421
TransportBrain,5.003,1483.692,477.748,10247,0.359
TransportBrain,5.098,1538.765,525.864,10243,0.428
TransportBrain,4.971,1594.602,535.350,10241,0.363
TransportBrain,5.128,1647.324,483.732,10253,0.484
TransportBrain,5.129,1702.512,526.180,10258,0.478
TransportBrain,5.034,1755.865,495.975,10264,0.459
TransportBrain,5.005,1808.275,476.771,10269,0.501
TransportBrain,5.114,1865.136,550.632,10249,0.485
TransportBrain,5.095,1920.232,521.487,10248,0.516
TransportBrain,5.033,1975.264,527.218,10250,0.433
TransportBrain,5.026,2028.582,496.251,10272,0.583
TransportBrain,5.170,2081.187,480.750,10245,0.561
TransportBrain,5.149,2135.237,508.226,10253,0.542
TransportBrain,5.208,2191.764,546.263,10255,0.489
TransportBrain,4.991,2246.729,517.863,10245,0.543
TransportBrain,4.981,2301.588,516.149,10271,0.575
TransportBrain,5.172,2356.120,511.151,10246,0.559
TransportBrain,5.045,2409.852,499.885,10252,0.618
TransportBrain,5.236,2464.835,511.082,10246,0.715
TransportBrain,5.453,2522.379,550.549,10252,0.580
TransportBrain,5.120,2577.272,512.949,10251,0.563
TransportBrain,4.969,2632.593,531.703,10243,0.541
TransportBrain,5.047,2685.714,497.930,10241,0.697
TransportBrain,5.108,2740.012,506.362,10248,0.691
TransportBrain,4.992,2794.954,517.749,10246,0.670
TransportBrain,5.088,2850.730,534.887,10244,0.666
TransportBrain,5.008,2906.189,529.717,10243,0.801
TransportBrain,5.069,2959.935,503.387,10242,0.820
TransportBrain,5.039,3012.826,487.436,10250,0.794
TransportBrain,5.182,3067.497,508.790,10252,0.822
TransportBrain,5.149,3123.971,537.210,10250,0.837
TransportBrain,5.005,3179.857,531.077,10264,0.754
TransportBrain,5.022,3235.307,527.852,10249,0.841
TransportBrain,5.175,3288.926,497.125,10250,0.854
TransportBrain,5.333,3343.066,500.293,10248,0.957
TransportBrain,5.092,3400.605,536.973,10261,1.039
TransportBrain,5.593,3456.592,501.055,10244,0.942
TransportBrain,5.431,3516.005,576.380,10241,0.959
TransportBrain,5.150,3574.986,574.143,10241,0.915
TransportBrain,5.268,3634.479,582.311,10243,1.123
TransportBrain,5.156,3692.365,554.943,10248,1.236
TransportBrain,5.050,3751.496,581.853,10249,1.289
TransportBrain,5.282,3810.853,588.823,10247,1.204
TransportBrain,5.190,3869.487,567.938,10250,1.433
TransportBrain,5.117,3929.571,595.168,10243,1.423
TransportBrain,5.047,3987.974,570.325,10242,1.406
TransportBrain,5.275,4045.019,551.090,10246,1.612
TransportBrain,5.231,4104.075,577.252,10245,1.618
TransportBrain,5.062,4162.795,575.877,10251,1.681
TransportBrain,5.158,4220.340,570.618,10254,1.701
