Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,4.215,30.853,270.041,5155,0.004
TransportBrain,4.128,58.040,248.912,5128,0.010
TransportBrain,4.420,85.403,249.973,5132,0.027
TransportBrain,4.317,115.435,278.727,5131,0.041
TransportBrain,5.236,148.977,315.616,5134,0.053
TransportBrain,4.429,180.118,286.832,5136,0.015
TransportBrain,4.518,211.230,284.983,5125,0.020
TransportBrain,4.549,241.779,279.121,5127,0.015
TransportBrain,5.531,274.132,283.701,5128,0.057
TransportBrain,4.253,302.348,254.580,5156,0.019
TransportBrain,4.335,333.520,278.071,5124,0.012
TransportBrain,4.207,362.227,251.160,5139,0.013
TransportBrain,4.309,391.631,267.800,5128,0.013
TransportBrain,4.206,425.673,307.537,5125,-0.003
TransportBrain,3.906,457.973,297.020,5125,-0.002
TransportBrain,4.413,488.593,256.138,5134,-0.002
TransportBrain,4.263,519.127,254.613,5122,-0.002
TransportBrain,4.369,547.741,237.336,5126,-0.003
TransportBrain,4.467,580.792,289.317,5139,-0.002
TransportBrain,4.420,615.800,335.626,5124,0.012
TransportBrain,4.424,646.628,283.233,5127,0.004
TransportBrain,4.352,678.285,305.799,5125,0.003
TransportBrain,4.410,716.849,379.717,5121,0.002
TransportBrain,4.385,753.661,350.826,5130,-0.001
TransportBrain,4.284,786.867,311.212,5122,-0.002
TransportBrain,4.316,817.509,260.975,5131,-0.003
TransportBrain,4.139,847.824,263.604,5128,-0.002
TransportBrain,4.204,878.657,264.937,5128,-0.002
TransportBrain,4.515,910.621,283.614,5124,-0.002
TransportBrain,4.331,944.012,292.251,5127,-0.003
TransportBrain,4.225,977.206,299.015,5121,-0.002
TransportBrain,4.251,1011.004,298.340,5129,-0.003
TransportBrain,4.021,1043.356,295.764,5126,-0.002
TransportBrain,3.942,1074.234,276.615,5125,-0.002
TransportBrain,4.077,1105.229,273.090,5124,-0.002
TransportBrain,4.083,1136.582,277.635,5127,-0.002
TransportBrain,4.254,1169.350,294.567,5138,-0.001
TransportBrain,4.189,1203.275,314.561,5129,-0.002
TransportBrain,4.259,1237.267,319.637,5128,-0.002
TransportBrain,4.188,1270.383,310.749,5122,-0.002
TransportBrain,4.448,1305.668,324.277,5124,-0.002
TransportBrain,4.298,1339.099,304.696,5122,-0.002
TransportBrain,3.952,1371.251,300.024,5130,-0.002
TransportBrain,4.296,1404.434,306.381,5134,-0.002
TransportBrain,4.244,1437.392,305.517,5130,-0.002
TransportBrain,4.364,1470.516,301.746,5134,0.009
TransportBrain,4.299,1503.845,300.689,5137,-0.002
TransportBrain,4.284,1536.106,288.427,5121,0.137
TransportBrain,4.396,1568.444,291.791,5125,0.056
TransportBrain,4.238,1600.506,287.641,5122,-0.002
TransportBrain,4.510,1635.614,329.646,5135,-0.002
TransportBrain,4.626,1673.066,367.576,5126,-0.002
TransportBrain,4.740,1710.543,359.947,5124,-0.002
TransportBrain,4.479,1749.289,373.716,5128,-0.002
TransportBrain,4.250,1785.023,345.895,5131,-0.002
